05:58:25                        Запускается сервис Монитора Установки...
05:58:26                        Версия сервиса: 0x105
05:58:26                        Запускаем 'setup.exe'...
05:58:26                        Монитор установки запущен
05:58:26    Создана папка       C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-FFPN2.tmp
05:58:26    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-FFPN2.tmp\setup.tmp
05:58:27    Создан процесс      C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-FFPN2.tmp\setup.tmp
05:58:27    Создана папка       C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-VEE13.tmp
05:58:27    Создана папка       C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-VEE13.tmp\_isetup
05:58:27    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-VEE13.tmp\_isetup\_setup64.tmp
05:58:27    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-VEE13.tmp\_isetup\_shfoldr.dll
05:58:27    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-VEE13.tmp\ISDone.dll
05:58:28    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-VEE13.tmp\b2p.dll
05:58:28    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-VEE13.tmp\botva2.dll
05:58:28    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-VEE13.tmp\CallbackCtrl.dll
05:58:28    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-VEE13.tmp\segoeui.ttf
05:58:45    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-VEE13.tmp\unarc.dll
05:58:45    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-VEE13.tmp\CLS-srep.dll
05:58:45    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-VEE13.tmp\English.ini
05:58:45    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-VEE13.tmp\Russian.ini
05:58:45    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-VEE13.tmp\hif2raw_dll.dll
