00:41:52                        Запускается сервис Монитора Установки...
00:41:52                        Версия сервиса: 0x105
00:41:52                        Запускаем 'setup.exe'...
00:41:52                        Монитор установки запущен
00:41:52    Создана папка       C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-JKVL6.tmp
00:41:52    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-JKVL6.tmp\setup.tmp
00:41:53    Создан процесс      C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-JKVL6.tmp\setup.tmp
00:41:53    Создана папка       C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp
00:41:53    Создана папка       C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\_isetup
00:41:53    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\_isetup\_setup64.tmp
00:41:53    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\_isetup\_shfoldr.dll
00:41:53    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\ISDone.dll
00:41:54    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\b2p.dll
00:41:54    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\botva2.dll
00:41:54    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\CallbackCtrl.dll
00:41:54    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\segoeui.ttf
00:42:01    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\unarc.dll
00:42:01    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\CLS-srep.dll
00:42:01    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\English.ini
00:42:01    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\Russian.ini
00:42:01    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\hif2raw_dll.dll
00:42:01    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\arc.ini
00:42:01    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\raw2hif_dll.dll
00:42:01    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\xtool.exe
00:42:01    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\xtool.ini
00:42:01    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\zlibwapi.dll
00:42:01    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\lzma2.exe
00:42:01    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\7z.dll
00:42:02    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\cls-lolz_x64.exe
00:42:02    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\cls-lolz_x86.exe
00:42:02    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\cls-lolz.dll
00:42:02    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\oo2recm.exe
00:42:02    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\oo2reck.exe
00:42:02    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\oo2core_5_win64.dll
00:42:02    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\libzstd.dll
00:42:02    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\zstdrec.exe
00:42:02    Создан файл         C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\cls.ini
00:42:03    Создана папка       C:\Program Files (x86)\Slime Rancher\freearc3685058137.tmp
00:42:03    Создан процесс      C:\Users\WDAGUtilityAccount\AppData\Local\Temp\is-EAP3V.tmp\lzma2.exe
00:42:03    Создан процесс      C:\Windows\System32\conhost.exe
00:42:43    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\sharedassets3.assets
00:43:02    Создан процесс      C:\Windows\System32\conhost.exe
00:43:02    Процесс завершен    C:\Windows\System32\conhost.exe
00:43:49    Создан файл         C:\Program Files (x86)\Slime Rancher\VRPlayground\SlimeRancher_Data\resources.assets
00:43:49    Создан файл         C:\Program Files (x86)\Slime Rancher\VRPlayground\SlimeRancher_Data\sharedassets0.assets
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\VRPlayground\SlimeRancher_Data\sharedassets1.assets
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\VRPlayground\SlimeRancher_Data\sharedassets2.assets
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\VRPlayground\SlimeRancher_Data\sharedassets3.assets
